date,year,month,group_code,group_name,short_name,monthly_variation,source_table
2012-11-01,2012,11,4,Vestuário,Vestuário,0.86,1419
2012-11-01,2012,11,5,Transportes,Transportes,0.68,1419
2012-11-01,2012,11,6,Saúde e cuidados pessoais,Saúde,0.32,1419
2012-11-01,2012,11,7,Despesas pessoais,Pessoais,0.53,1419
2012-11-01,2012,11,8,Educação,Educação,0.05,1419
2012-11-01,2012,11,9,Comunicação,Comunicação,0.31,1419
2012-12-01,2012,12,1,Alimentação e bebidas,Alimentação,1.03,1419
2012-12-01,2012,12,2,Habitação,Habitação,0.63,1419
2012-12-01,2012,12,3,Artigos de residência,Residência,0.27,1419
2012-12-01,2012,12,4,Vestuário,Vestuário,1.11,1419
2012-12-01,2012,12,5,Transportes,Transportes,0.75,1419
2012-12-01,2012,12,6,Saúde e cuidados pessoais,Saúde,0.4,1419
2012-12-01,2012,12,7,Despesas pessoais,Pessoais,1.6,1419
2012-12-01,2012,12,8,Educação,Educação,0.19,1419
2012-12-01,2012,12,9,Comunicação,Comunicação,0.03,1419
2013-01-01,2013,1,1,Alimentação e bebidas,Alimentação,1.99,1419
2013-01-01,2013,1,2,Habitação,Habitação,-0.2,1419
2013-01-01,2013,1,3,Artigos de residência,Residência,1.15,1419
2013-01-01,2013,1,4,Vestuário,Vestuário,-0.53,1419
2013-01-01,2013,1,5,Transportes,Transportes,0.75,1419
2013-01-01,2013,1,6,Saúde e cuidados pessoais,Saúde,0.73,1419
2013-01-01,2013,1,7,Despesas pessoais,Pessoais,1.55,1419
2013-01-01,2013,1,8,Educação,Educação,0.35,1419
2013-01-01,2013,1,9,Comunicação,Comunicação,-0.08,1419
2013-02-01,2013,2,1,Alimentação e bebidas,Alimentação,1.45,1419
2013-02-01,2013,2,2,Habitação,Habitação,-2.38,1419
2013-02-01,2013,2,3,Artigos de residência,Residência,0.53,1419
2013-02-01,2013,2,4,Vestuário,Vestuário,0.55,1419
2013-02-01,2013,2,5,Transportes,Transportes,0.81,1419
2013-02-01,2013,2,6,Saúde e cuidados pessoais,Saúde,0.65,1419
2013-02-01,2013,2,7,Despesas pessoais,Pessoais,0.57,1419
2013-02-01,2013,2,8,Educação,Educação,5.4,1419
2013-02-01,2013,2,9,Comunicação,Comunicação,0.1,1419
2013-03-01,2013,3,1,Alimentação e bebidas,Alimentação,1.14,1419
2013-03-01,2013,3,2,Habitação,Habitação,0.51,1419
2013-03-01,2013,3,3,Artigos de residência,Residência,0.11,1419
2013-03-01,2013,3,4,Vestuário,Vestuário,0.15,1419
2013-03-01,2013,3,5,Transportes,Transportes,-0.09,1419
2013-03-01,2013,3,6,Saúde e cuidados pessoais,Saúde,0.32,1419
2013-03-01,2013,3,7,Despesas pessoais,Pessoais,0.54,1419
2013-03-01,2013,3,8,Educação,Educação,0.56,1419
2013-03-01,2013,3,9,Comunicação,Comunicação,0.13,1419
2013-04-01,2013,4,1,Alimentação e bebidas,Alimentação,0.96,1419
2013-04-01,2013,4,2,Habitação,Habitação,0.62,1419
2013-04-01,2013,4,3,Artigos de residência,Residência,0.63,1419
2013-04-01,2013,4,4,Vestuário,Vestuário,0.65,1419
2013-04-01,2013,4,5,Transportes,Transportes,-0.19,1419
2013-04-01,2013,4,6,Saúde e cuidados pessoais,Saúde,1.28,1419
2013-04-01,2013,4,7,Despesas pessoais,Pessoais,0.61,1419
2013-04-01,2013,4,8,Educação,Educação,0.1,1419
2013-04-01,2013,4,9,Comunicação,Comunicação,-0.32,1419
2013-05-01,2013,5,1,Alimentação e bebidas,Alimentação,0.31,1419
2013-05-01,2013,5,2,Habitação,Habitação,0.75,1419
